Restaurant Name,Address,Average Yelp Review,#Pass Inspection,#Conditional Inspection,#Failed Inspection
Shark's Fish & Chicken,"Shark's Fish & Chicken - The Loop - Chicago, IL",3,0,0,0
Gioco,"Gioco - Near Southside - Chicago, IL",4,8,2,4
Korean Express,"Korean Express - CLOSED - The Loop - Chicago, IL",4,0,0,0
Wow Bow,"Wow Bow - The Loop - Chicago, IL",4,0,0,0
Bacci Pizzeria,"Bacci Pizzeria - Chicago, IL",4,1,0,0
Micky's Chicken & Fish,"Micky's Chicken & Fish - The Loop - Chicago, IL",4,0,0,0
Pastoral,"Pastoral - The Loop - Chicago, IL",5,7,1,2
Connie's Pizza,"Connie's Pizza - The Loop - Chicago, IL",4,0,0,0
Taza,"Taza - The Loop - Chicago, IL",5,6,0,0
McDonald's,"McDonald's - Near West Side - Chicago, IL",3,42,1,13
Subway,"Subway - The Loop - Chicago, IL",3,187,21,29
I Dream Of Falafel,"I Dream Of Falafel - The Loop - Chicago, IL",4,16,6,5
Cardozo's Pub,"Cardozo's Pub - The Loop - Chicago, IL",3,10,1,1
Robinson's No 1 Ribs,"Robinson's No 1 Ribs - Near West Side - Chicago, IL",4,0,0,0
Trattoria No. 10,"Trattoria No. 10 - The Loop - Chicago, IL",4,0,0,0
Five Guys Burgers & Fries,"Five Guys Burgers & Fries - South Loop - Chicago, IL",4,0,0,0
Subway,"Subway - The Loop - Chicago, IL",3,187,21,29
Augustino's Rock & Roll Deli,"Augustino's Rock & Roll Deli - CLOSED - The Loop - Chicago, IL",4,0,0,0
Chicago Curry House,"Chicago Curry House - South Loop - Chicago, IL",4,6,3,3
The Walnut Room,"The Walnut Room - The Loop - Chicago, IL",3,0,0,0
Halsted Street Deli,"Halsted Street Deli - The Loop - Chicago, IL",3,44,11,12
Emil's Bar & Grill,"Emil's Bar & Grill - CLOSED - Chicago, IL",3,0,0,0
Subway,"Subway - The Loop - Chicago, IL",3,187,21,29
DOS Hermanos Mexican Restaurante,"DOS Hermanos Mexican Restaurante - CLOSED - The Loop - Chicago, IL",4,0,0,0
Subway,"Subway - The Loop - Chicago, IL",3,187,21,29
au bon pain,"au bon pain - The Loop - Chicago, IL",1,80,14,12
Bacci Pizzeria,"Bacci Pizzeria - The Loop - Chicago, IL",3,1,0,0
